1_graph	8_frantfreqparm
enveloppements	0.19
enveloppent	1.42
envelopper	2.87
enveloppera	0.13
envelopperaient	0.06
envelopperait	0.32
envelopperez	0.03
enveloppes	5.77
enveloppeur	0.03
enveloppez	0.19
enveloppons	0.03
enveloppâmes	0.03
enveloppât	0.06
enveloppèrent	0.13
enveloppé	7.45
enveloppée	4.42
enveloppées	1.16
enveloppés	3.32
envenima	0.10
envenimaient	0.06
envenimait	0.10
envenimant	0.10
envenime	0.16
enveniment	0.16
envenimer	0.65
envenimez	0.03
envenimèrent	0.03
envenimé	0.06
envenimée	0.10
envenimées	0.10
envenimés	0.03
envergure	5.97
envergures	0.03
enverguée	0.03
enverra	1.39
enverrai	1.52
enverraient	0.23
enverrais	0.26
enverrait	1.71
enverras	0.23
enverrez	0.16
enverrions	0.10
enverrons	0.13
enverront	0.48
envers	35.71
envia	0.23
enviable	1.58
enviables	0.29
enviai	0.26
enviaient	0.48
enviais	1.52
enviait	1.48
enviandé	0.10
enviandés	0.06
enviant	0.23
envider	0.03
envidé	0.03
envie	137.55
envieillirait	0.03
envieillis	0.03
envient	0.16
envier	2.32
enviera	0.03
envieraient	0.16
envierais	0.03
envierait	0.13
envierez	0.06
envieront	0.06
envies	3.39
envieuse	0.29
envieuses	0.06
envieux	1.06
enviez	0.10
enviions	0.03
envions	0.10
environ	71.65
environnaient	0.29
environnait	0.48
environnant	1.52
environnante	0.84
environnantes	0.65
environnants	0.87
environne	1.23
environnement	7.39
environnements	0.13
environnent	0.45
environner	0.03
environnez	0.03
environné	1.00
environnée	0.39
environnées	0.10
environnés	0.39
environs	16.94
envisage	7.84
envisagea	1.00
envisageable	0.42
envisageables	0.35
envisageai	0.39
envisageaient	0.71
envisageais	0.77
envisageait	3.94
envisageant	1.00
envisagent	1.32
envisageons	1.16
envisager	18.61
envisagera	0.19
envisagerai	0.06
envisageraient	0.03
envisagerais	0.03
envisagerait	0.23
envisageriez	0.03
envisagerions	0.06
envisagerons	1.13
envisageront	0.06
envisages	0.13
envisagez	0.35
envisageât	0.10
envisagiez	0.03
envisagions	0.32
envisagèrent	0.26
envisagé	9.65
envisagée	7.26
envisagées	3.94
envisagés	2.58
envisonnée	0.03
enviât	0.03
envié	0.84
enviée	0.68
enviées	0.19
enviés	0.26
envoi	7.77
envoie	19.42
envoient	2.81
envoies	0.29
envois	1.16
envoisine	0.03
envol	4.10
envola	1.29
envolai	0.16
envolaient	1.32
envolais	0.10
envolait	1.26
envolant	0.26
envole	2.87
envolent	1.74
envolera	0.19
envolerai	0.03
envoleraient	0.16
envolerais	0.03
envolerait	0.10
envolerez	0.03
envolerions	0.06
envoleront	0.03
envoles	0.03
envols	0.48
envolâmes	0.03
envolât	0.03
envolèrent	0.84
envolé	1.61
envolée	2.16
envolées	0.90
envolés	0.77
envoya	8.35
envoyai	1.10
envoyaient	1.87
envoyais	1.00
envoyait	7.94
envoyant	2.61
envoyasse	0.03
envoyer	26.29
envoyeur	0.16
envoyeurs	0.03
envoyez	1.42
envoyions	0.03
envoyons	0.29
envoyâmes	0.10
envoyât	0.45
envoyèrent	0.77
envoyé	26.35
envoyée	4.19
envoyées	2.71
envoyés	6.23
envoûtaient	0.06
envoûtait	0.10
envoûtant	0.42
envoûtante	0.61
envoûtantes	0.03
envoûtants	0.13
envoûte	0.32
envoûtement	1.58
envoûtements	0.03
envoûter	0.23
envoûteur	0.06
envoûteurs	0.06
envoûté	0.74
envoûtée	0.13
envoûtées	0.03
envoûtés	0.19
enzymatique	1.68
enzymatiques	0.68
enzyme	1.61
enzymes	4.81
enzymologie	0.29
enzymologiques	0.03
epsilon	0.13
erg	0.13
ergastoplasme	0.77
ergastule	0.03
ergastules	0.13
ergo	0.45
ergodique	0.48
ergodiques	0.13
ergographe	0.03
ergographiques	0.03
ergologie	0.03
ergonomie	0.06
ergostérine	0.03
ergostérol	0.06
ergot	0.26
ergotait	0.03
ergote	0.16
ergotent	0.03
ergoter	0.19
ergoteur	0.06
ergoteurs	0.03
ergoteuse	0.06
ergotez	0.03
ergothérapeute	0.03
ergothérapie	0.13
ergotons	0.10
ergots	0.71
ergs	0.29
erlang	0.06
ermitage	3.35
ermitages	0.23
ermite	2.58
ermites	0.61
erpétologie	0.03
erra	1.13
errai	0.29
erraient	1.19
errais	0.81
errait	1.94
errance	1.97
errances	0.94
errant	4.29
errante	3.13
errantes	1.06
errants	2.35
errata	0.13
erratique	0.32
erratiques	0.35
erre	2.35
errements	1.23
errent	1.00
errer	4.03
errera	0.06
errerai	0.03
erreraient	0.03
errerait	0.03
erreras	0.03
errerons	0.03
erreront	0.03
erres	0.03
erreur	39.06
erreurs	21.77
errez	0.10
errions	0.10
errons	0.13
erroné	0.77
erronée	1.87
erronées	1.06
erronément	0.03
erronés	0.23
errâmes	0.06
errèrent	0.19
erré	1.52
ersatz	1.19
es	188.55
esbignais	0.06
esbignait	0.03
esbigne	0.10
esbignent	0.03
esbigner	0.10
esbigné	0.13
esbroufe	0.16
esbroufer	0.03
esbroufée	0.03
escabeau	3.06
escabeaux	0.32
escabelle	0.03
escabèches	0.03
escadre	3.90
escadres	1.19
escadrille	1.10
escadrilles	1.90
escadrin	0.03
escadron	3.32
escadrons	1.35
escagasse	0.03
escagasser	0.03
escalada	0.77
escaladaient	0.32
escaladais	0.23
escaladait	0.68
escaladant	0.90
escalade	5.87
escaladent	0.29
escalader	2.32
escaladera	0.10
escaladerai	0.03
escaladerais	0.03
escaladerait	0.06
escalades	0.42
escaladeur	0.03
escaladeuse	0.03
escaladeuses	0.03
escaladions	0.13
escaladons	0.03
escaladâmes	0.13
escaladèrent	0.13
escaladé	0.94
escaladée	0.06
escaladées	0.10
escaladés	0.03
escalais	0.03
escalator	0.10
escalators	0.03
escale	4.58
escalera	0.03
escales	1.77
escalier	69.39
escaliers	14.19
escalope	0.42
escalopes	0.71
escamota	0.10
escamotable	0.23
escamotables	0.10
escamotage	0.26
escamotages	0.06
escamotaient	0.03
escamotait	0.26
escamotant	0.06
escamote	0.52
escamotent	0.13
escamoter	1.06
escamoterai	0.03
escamoteur	0.19
escamoteurs	0.03
escamoté	0.87
escamotée	0.55
escamotées	0.16
escamotés	0.13
escampette	0.13
escapade	1.26
escapades	0.81
escape	0.03
escarbille	0.13
escarbilles	0.71
escarboucle	0.32
escarboucles	0.10
escarcelle	0.26
escarcelles	0.03
escargot	2.42
escargotière	0.03
escargots	2.87
escarmouchaient	0.03
escarmouchant	0.03
escarmouche	0.42
escarmouchent	0.06
escarmouches	0.94
escarmoucheur	0.03
escarmouché	0.03
escarole	0.03
escarpement	0.32
escarpements	0.58
escarpes	0.26
escarpin	0.32
escarpins	2.48
escarpolette	0.29
escarpolettes	0.10
escarpé	0.68
escarpée	0.58
escarpées	0.42
escarpés	0.19
escarre	0.19
escarres	0.65
eschatologie	0.35
eschatologique	0.65
eschatologiques	0.06
esche	0.06
escient	1.61
esclaffa	0.81
esclaffai	0.03
esclaffaient	0.39
esclaffait	0.32
esclaffant	0.52
esclaffe	0.61
esclaffement	0.03
esclaffements	0.03
esclaffent	0.35
esclafferaient	0.03
esclaffèrent	0.19
esclaffé	0.16
esclaffée	0.10
esclaffés	0.03
esclandre	1.13
esclandres	0.16
esclavage	6.74
esclavagea	0.06
esclavager	0.10
esclavages	0.03
esclavagisme	0.03
esclavagiste	0.19
esclavagistes	0.06
esclavagé	0.03
esclave	11.68
esclaves	12.32
esclavons	0.16
escobar	0.06
escogriffe	0.55
escogriffes	0.13
escompta	0.03
escomptables	0.03
escomptai	0.03
escomptaient	0.26
escomptais	0.23
escomptait	0.84
escomptant	0.48
escompte	2.77
escomptent	0.16
escompter	1.45
escomptes	0.13
escompteur	0.03
escompteurs	0.03
escompté	1.16
escomptée	0.42
escomptées	0.26
escomptés	0.52
escopette	0.23
escopettes	0.03
escorta	0.19
escortaient	0.35
escortait	0.39
escortant	0.13
escorte	4.77
escortent	0.42
escorter	0.52
escortera	0.03
escorteraient	0.03
escorteront	0.03
escortes	0.26
escorteur	0.26
escorteurs	1.26
escortèrent	0.19
escorté	1.06
escortée	0.55
escortées	0.03
escortés	0.87
escot	0.06
escouade	2.00
escouades	0.77
escourgeon	0.10
escrimai	0.03
escrimaient	0.16
escrimais	0.03
escrimait	0.39
escrimant	0.16
escrime	2.97
escriment	0.13
escrimer	0.13
escrimera	0.03
escrimeraient	0.03
escrimes	0.03
escrimeur	0.32
escrimeurs	0.13
escrimeuses	0.03
escroc	1.58
escrocs	0.97
escroquant	0.03
escroque	0.06
escroquer	0.39
escroquerie	1.84
escroqueries	0.58
escroques	0.03
escroqué	0.10
escroquée	0.03
escroquées	0.03
escroqués	0.03
escudos	0.03
esculape	0.13
esgourdai	0.03
esgourdant	0.03
esgourde	0.58
esgourder	0.32
esgourdes	0.71
esgourdé	0.03
esgourdée	0.03
eskimo	0.58
eskimos	0.39
espace	119.61
espacement	1.13
espacements	0.26
espacent	0.32
espacer	0.55
espacerait	0.03
espaceront	0.03
espaces	21.55
espacions	0.06
espacèrent	0.35
espacé	0.42
espacée	0.16
espacées	1.48
espacés	2.00
espada	0.35
espadas	0.03
espadon	0.26
espadons	0.06
espadrille	0.48
espadrilles	3.77
espagnol	15.26
espagnolades	0.03
espagnole	8.45
espagnoles	2.10
espagnolette	0.68
espagnolettes	0.03
espagnols	8.16
espalier	0.65
espaliers	0.55
espar	0.03
espars	0.03
espaça	0.19
espaçaient	0.55
espaçait	0.16
espaçant	0.32
espingole	0.06
espingoles	0.03
espion	2.68
espionnage	2.35
espionnaient	0.13
espionnais	0.13
espionnait	0.35
espionnant	0.03
espionne	1.39
espionnent	0.03
espionner	1.16
espionnes	0.26
espionnite	0.13
espionnât	0.03
espionné	0.13
espionnée	0.03
espionnés	0.03
espions	2.52
espiègle	0.74
espièglerie	0.58
espiègleries	0.06
espiègles	0.35
esplanade	3.42
esplanades	0.35
espoir	61.71
espoirs	10.03
espressivo	0.03
esprit	229.65
esprits	36.32
espèce	108.35
espèces	47.32
espère	27.74
espèrent	1.77
espères	0.65
espéra	0.90
espérai	0.10
espéraient	2.13
espérais	6.65
espérait	10.61
espérance	18.71
espérances	6.97
espérant	6.58
espérante	0.06
espérantiste	0.06
espéranto	0.16
espérer	21.26
espérerait	0.03
espérerons	0.03
espérez	1.03
espériez	0.19
espérions	0.58
espérons	2.77
espérâmes	0.03
espérât	0.06
espérèrent	0.10
espéré	5.77
espérée	0.77
espérées	0.35
espérés	0.32
esquif	0.90
esquifs	0.16
esquille	0.06
esquilles	0.39
esquimau	0.58
esquimaude	0.03
esquimaux	0.84
esquinancie	0.03
esquintait	0.06
esquinte	0.35
esquintement	0.03
esquintent	0.03
esquinter	0.52
esquintes	0.03
esquinté	0.23
esquintée	0.13
esquintées	0.03
esquintés	0.10
esquirol	0.26
esquissa	2.45
esquissai	0.10
esquissaient	0.13
esquissais	0.26
esquissait	0.94
esquissant	0.77
esquisse	6.42
esquissent	0.35
esquisser	2.84
esquissera	0.10
esquisserait	0.03
esquisserons	0.06
esquisses	1.52
esquissez	0.03
esquissons	0.06
esquissèrent	0.16
esquissé	2.29
esquissée	1.48
esquissées	0.71
esquissés	0.55
esquiva	0.65
esquivai	0.06
esquivaient	0.03
esquivais	0.03
esquivait	0.45
esquivant	0.32
esquive	1.19
esquivent	0.16
esquiver	2.10
esquivera	0.06
esquives	0.16
esquivèrent	0.10
esquivé	0.68
esquivée	0.13
essai	20.26
essaie	27.16
essaient	3.74
essaiera	1.03
essaierai	1.97
essaieraient	0.13
essaierais	0.48
essaierait	0.94
essaieras	0.16
essaierez	0.03
essaierions	0.03
essaierons	0.65
essaieront	0.35
essaies	0.71
essaim	2.52
essaimage	0.26
essaimages	0.03
essaimaient	0.03
essaimait	0.03
essaimant	0.13
essaime	0.16
essaiment	0.10
essaimer	0.16
essaimera	0.03
essaims	1.03
essaimèrent	0.06
essaimé	0.52
essaimées	0.06
essaimés	0.03
essais	24.10
essangent	0.03
essarta	0.03
essartage	0.13
essartages	0.06
essarte	0.03
essartements	0.03
essarts	0.13
essartée	0.03
essartés	0.03
essaya	13.77
essayage	0.94
essayages	0.48
essayai	4.71
essayaient	3.48
essayais	7.65
essayait	18.29
essayant	13.45
essaye	7.68
essayent	1.58
essayer	40.23
essayera	0.26
essayerai	0.32
essayeraient	0.03
essayerais	0.16
essayerait	0.13
essayerez	0.06
essayerions	0.03
essayerons	0.16
essayeront	0.03
essayes	0.23
essayeur	0.13
essayeurs	0.03
essayeuses	0.03
essayez	4.65
essayiez	0.13
essayions	0.39
essayiste	0.32
essayistes	0.10
essayons	5.03
essayâmes	0.10
essayât	0.23
essayèrent	1.58
essayé	31.52
essayée	0.55
essayées	0.48
essayés	0.61
esse	1.10
essence	39.00
essences	8.35
essentialisme	0.03
essentialiste	0.03
essentiel	61.84
essentielle	23.39
essentiellement	46.90
essentielles	13.10
essentiels	16.00
esseulé	0.23
esseulée	0.39
esseulées	0.13
esseulés	0.19
essieu	4.13
essieux	5.45
essor	17.94
essora	0.10
essorage	0.19
essoraient	0.06
essorait	0.13
essorant	0.06
essore	0.10
essorent	0.10
essorer	0.58
essorerait	0.03
essoreuse	0.10
essoreuses	0.06
essorillant	0.03
essorillé	0.03
essoré	0.10
essorée	0.19
essorés	0.06
essouffla	0.10
essoufflaient	0.19
essoufflais	0.03
essoufflait	0.42
essoufflant	0.10
essouffle	1.19
essoufflement	1.13
essoufflements	0.10
essoufflent	0.13
essouffler	0.23
essoufflerait	0.03
essouffleront	0.06
essouffles	0.03
essoufflez	0.06
essoufflèrent	0.03
essoufflé	3.58
essoufflée	2.10
essoufflées	0.06
essoufflés	0.97
essuie	7.13
essuient	0.39
essuiera	0.06
essuieras	0.03
essuierions	0.03
essuieront	0.03
essuies	0.03
essuya	6.23
essuyage	0.06
essuyages	0.03
essuyai	0.29
essuyaient	0.29
essuyais	0.35
essuyait	3.06
essuyant	3.42
essuyer	6.03
essuyez	0.29
essuyions	0.03
essuyons	0.06
essuyâmes	0.03
essuyèrent	0.13
essuyé	2.55
essuyée	0.42
essuyées	0.19
essuyés	0.10
essénien	0.16
essénienne	0.32
esséniens	0.26
essénisme	0.29
est	8745.94
establishment	0.13
estacade	0.23
estacades	0.13
estafette	1.19
estafettes	0.65
estafier	0.03
estafiers	0.03
estafilade	0.39
estafilades	0.10
estagnon	0.03
estaminet	0.81
estaminets	0.23
estampage	0.16
estampages	0.03
estampe	0.74
estamper	0.10
estampes	3.26
estampilla	0.03
estampillage	0.03
estampillaient	0.03
estampillait	0.03
estampille	0.52
estampillent	0.03
estampiller	0.03
estampilles	0.06
estampillé	0.13
estampillées	0.13
estampillés	0.19
estampé	0.13
estampée	0.03
estampées	0.03
estancia	0.10
estancias	0.23
este	0.52
ester	0.55
esters	0.71
estes	0.13
esthète	1.10
esthètes	0.58
esthésiomètre	0.03
esthéticien	0.26
esthéticienne	0.26
esthéticiennes	0.03
esthéticiens	0.13
esthétique	18.19
esthétiquement	0.16
esthétiques	4.74
esthétisait	0.03
esthétisant	0.03
esthétisme	0.68
estima	1.42
estimable	0.97
estimables	0.42
estimai	0.06
estimaient	2.06
estimais	1.13
estimait	7.26
estimant	2.29
estimatif	0.13
estimation	4.97
estimations	2.13
estime	26.29
estiment	4.26
estimer	7.65
estimera	0.35
estimerai	0.10
estimeraient	0.03
estimerais	0.06
estimerait	0.16
estimerez	0.10
estimeriez	0.03
estimerions	0.06
estimerons	0.06
estimeront	0.16
estimes	0.26
estimez	0.97
estimiez	0.03
estimions	0.42
estimons	0.71
estimât	0.19
estimèrent	0.45
estimé	4.48
estimée	1.87
estimées	0.58
estimés	1.00
estivage	0.19
estival	0.29
estivale	0.45
estivales	0.29
estivant	0.19
estivante	0.06
estivantes	0.03
estivants	1.45
estivation	0.06
estivaux	0.16
estive	0.06
estivent	0.03
estives	0.10
estoc	0.19
estocade	0.32
estocades	0.06
estocs	0.06
estom	0.10
estomac	22.97
estomacs	0.48
estomaquait	0.06
estomaquant	0.03
estomaque	0.10
estomaquer	0.06
estomaqué	0.68
estomaquée	0.10
estomaqués	0.06
estome	0.10
estompa	0.32
estompage	0.03
estompaient	0.52
estompait	0.90
estompant	0.26
estompe	1.71
estompent	1.19
estomper	0.90
estomperaient	0.03
estomperait	0.03
estomperont	0.06
estompes	0.06
estompât	0.06
estompèrent	0.10
estompé	0.35
estompée	0.45
estompées	0.29
estompés	0.39
estonien	0.16
estonienne	0.03
estoniennes	0.03
estoniens	0.29
estoqua	0.03
estoque	0.06
estoquer	0.06
estoqué	0.06
estouffade	0.03
estourbi	0.19
estourbie	0.19
estourbir	0.42
estourbirait	0.03
estourbis	0.10
estourbissais	0.03
estourbissant	0.03
estourbisse	0.03
estourbit	0.13
estrade	6.03
estrades	0.32
estragon	0.84
estramaçon	0.03
estran	0.06
estrapade	0.29
estrapades	0.03
estropia	0.03
estropiait	0.03
estropie	0.06
estropier	0.10
estropié	0.58
estropiée	0.10
estropiés	0.52
estuaire	3.13
estuaires	0.81
estudiantin	0.13
estudiantine	0.23
estudiantines	0.13
estudiantins	0.03
esturgeon	0.13
esturgeons	0.06
estérification	0.32
estérifications	0.03
estérifiés	0.06
et	18621.71
etc	208.23
ethnie	0.61
ethnies	0.48
ethnique	5.65
ethniquement	0.16
ethniques	4.77
ethno	0.39
ethnobotanique	0.23
ethnobotaniques	0.03
ethnocentrie	0.03
ethnocentrique	0.03
ethnocentrisme	0.13
ethnographe	2.65
ethnographes	2.19
ethnographie	8.68
ethnographique	2.81
ethnographiques	2.00
ethnologie	6.87
ethnologies	0.03
ethnologique	1.10
ethnologiquement	0.03
ethnologiques	0.55
ethnologue	1.65
ethnologues	2.90
ethnomusicologie	0.32
ethnos	0.03
ethnozoologie	0.03
eu	300.87
eubage	0.19
eubine	0.13
eucalyptus	2.03
eucharistie	1.19
eucharistique	0.48
eucharistiques	0.03
euclidien	1.19
euclidienne	1.74
euclidiennes	0.87
euclidiens	0.16
eudiomètre	0.10
eudiométrie	0.03
eudiométriques	0.03
eudistes	0.06
eudémis	0.13
eudémonisme	0.03
eudémoniste	0.03
eue	8.23
eues	1.65
euglène	0.03
euglènes	0.10
eugénie	4.61
eugénique	0.42
eugéniques	0.06
eugénisme	0.16
eugénistes	0.06
eugénol	0.03
eugénésie	0.03
euh	8.16
eulogie	0.03
eumolpe	0.06
eumène	0.10
euménides	0.06
eunuque	1.29
eunuques	3.10
euphonie	0.03
euphonique	0.10
euphoniquement	0.03
euphoniques	0.03
euphorbe	0.26
euphorbes	0.19
euphorbiacées	0.03
euphorie	5.19
euphorique	1.00
euphoriques	0.13
euphorisant	0.06
euphorisante	0.03
euphorisants	0.29
euphorisent	0.03
euphorisé	0.03
euphorisée	0.03
euphotique	0.26
euphémisme	0.58
euphémismes	0.26
eurafricaine	0.03
eurasiatiques	0.10
eurasien	0.03
eurasienne	0.13
eurent	20.32
euromarché	0.03
europium	0.06
européanisation	0.06
européanise	0.06
européaniser	0.06
européanisme	0.06
européen	13.68
européenne	20.32
européennes	8.55
européens	20.32
eurybathes	0.26
euryhalines	0.03
euryhalinité	0.03
euryhalins	0.03
eurythermes	0.16
eurythmie	0.03
eurythmique	0.03
eurythmiques	0.03
eus	25.97
eusse	6.19
eussent	17.71
eusses	0.23
eussiez	0.39
eussions	1.10
eustache	2.26
eustaches	0.10
eustatiques	0.03
eut	180.68
eutectoïdes	0.03
euthanasie	0.45
euthanasies	0.03
eutrophique	0.03
eutrophiques	0.03
eux	444.84
event	0.03
events	0.03
evzones	0.03
exacerba	0.06
exacerbant	0.03
exacerbation	0.06
exacerbe	0.19
exacerbent	0.19
exacerber	0.16
exacerbé	0.52
exacerbée	0.52
exacerbées	0.23
exacerbés	0.10
exact	18.65
exacte	20.71
exactement	83.23
exactes	5.32
exaction	0.03
exactions	1.19
exactitude	9.58
exactitudes	0.03
exacts	2.58
exagère	3.52
exagèrent	0.45
exagères	1.00
exagéra	0.13
exagérai	0.03
exagéraient	0.03
exagérais	0.32
exagérait	1.65
exagérant	0.55
exagération	3.03
exagérations	0.77
exagérer	3.58
exagérera	0.06
exagérerais	0.03
exagérerait	0.06
exagérerons	0.03
exagérez	0.81
exagérions	0.03
exagérons	1.03
exagérèrent	0.03
exagéré	5.32
exagérée	3.06
exagérées	0.84
exagérément	3.23
exagérés	0.74
exalta	0.23
exaltai	0.03
exaltaient	0.65
exaltais	0.16
exaltait	2.00
exaltant	2.35
exaltante	2.10
exaltantes	0.52
exaltants	0.35
exaltation	11.45
exaltations	0.77
exalte	2.87
exaltent	0.77
exalter	2.39
exaltera	0.03
exalterait	0.03
exaltes	0.13
exaltons	0.10
exaltèrent	0.10
exalté	2.68
exaltée	2.42
exaltées	0.42
exaltés	0.84
examen	58.74
examens	16.39
examina	4.61
examinai	0.35
examinaient	0.90
examinais	0.39
examinait	2.87
examinant	4.26
examinateur	0.90
examinateurs	0.65
examinatrice	0.03
examine	7.81
examinent	0.81
examiner	19.94
examinera	0.77
examinerai	0.03
examineraient	0.10
examinerait	0.19
examinerons	1.52
examineront	0.03
examines	0.03
examinez	0.13
examinions	0.13
examinons	2.32
examinèrent	0.39
examiné	4.42
examinée	1.97
examinées	1.48
examinés	2.61
exanthématique	0.42
exanthématiques	0.06
exarque	0.03
exaspère	1.32
exaspèrent	0.45
exaspéra	0.42
exaspéraient	0.65
exaspérais	0.10
exaspérait	1.81
exaspérant	1.13
exaspérante	0.55
exaspérantes	0.03
exaspérants	0.13
exaspération	2.55
exaspérations	0.03
exaspérer	1.06
exaspérera	0.06
exaspéreraient	0.03
exaspérât	0.03
exaspérèrent	0.13
exaspéré	3.06
exaspérée	1.19
exaspérées	0.39
exaspérés	0.55
exauce	0.39
exaucement	0.26
exaucements	0.03
exaucer	0.48
exaucez	0.06
exaucé	0.77
exaucée	0.42
exaucées	0.06
exaucés	0.26
exauça	0.03
exauçai	0.03
exauçaient	0.03
exauçant	0.03
exauçât	0.03
excavateur	0.06
excavation	0.65
excavations	0.26
excavatrice	0.06
excavées	0.06
excavés	0.03
excella	0.13
excellaient	0.26
excellais	0.10
excellait	0.81
excellant	0.13
excelle	0.58
excellemment	0.87
excellence	16.00
excellences	0.32
excellent	15.16
excellente	11.10
excellentes	3.65
excellentissime	0.06
excellents	5.84
exceller	0.29
excelleraient	0.03
excellons	0.03
excellèrent	0.06
excellé	0.42
excentration	0.03
excentrer	0.03
excentricité	0.97
excentricités	0.39
excentrique	2.16
excentriquement	0.06
excentriques	1.35
excentrée	0.19
excentrées	0.06
excepta	0.10
exceptais	0.06
exceptait	0.06
exceptant	0.23
excepte	2.00
excepter	0.65
excepterait	0.03
exceptes	0.03
exception	29.48
exceptionnel	11.00
exceptionnelle	12.48
exceptionnellement	7.61
exceptionnelles	7.45
exceptionnels	5.23
exceptions	8.97
exceptons	0.06
excepté	4.06
exceptée	0.68
exceptées	0.10
exceptés	0.48
excessif	6.52
excessifs	1.48
excessive	8.94
excessivement	2.16
excessives	2.35
excipa	0.06
excipent	0.03
exciper	0.13
excipient	0.16
excise	0.06
exciser	0.13
exciseurs	0.06
exciseuse	0.06
exciseuses	0.03
excision	0.45
excisé	0.03
excisée	0.06
excisées	0.23
excisés	0.06
excita	0.42
excitabilité	0.77
excitable	0.48
excitables	0.13
excitaient	0.97
excitais	0.06
excitait	2.68
excitant	5.00
excitante	1.35
excitantes	0.39
excitants	1.32
excitassent	0.03
excitateur	0.16
excitateurs	0.03
excitation	16.61
excitations	2.10
excitatrice	0.13
excitatrices	0.19
excite	3.84
excitent	1.00
exciter	3.97
excitera	0.13
exciterait	0.19
exciterez	0.03
exciteriez	0.03
exciteront	0.03
excites	0.23
exciteur	0.03
excitez	0.10
excitions	0.03
excitons	0.16
excitât	0.03
excitèrent	0.13
excité	4.35
excitée	2.03
excitées	1.13
excités	2.71
exclama	3.90
exclamai	0.10
exclamaient	0.26
exclamais	0.03
exclamait	0.97
exclamant	0.26
exclamatif	0.03
exclamation	3.00
exclamations	3.35
exclamative	0.06
exclame	2.26
exclament	0.19
exclamera	0.03
exclameraient	0.03
exclamerait	0.03
exclameront	0.03
exclamâmes	0.03
exclamèrent	0.13
exclamé	0.45
exclamée	0.35
exclu	7.58
excluaient	0.61
excluais	0.10
excluait	2.16
excluant	1.94
exclue	3.26
excluent	1.77
exclues	1.16
excluez	0.06
excluions	0.03
excluons	0.13
exclura	0.10
excluraient	0.03
exclurait	0.19
exclure	5.06
exclurent	0.06
exclus	3.52
exclusif	6.90
exclusifs	1.45
exclusion	8.55
exclusions	0.23
exclusive	6.42
exclusivement	21.97
exclusives	1.68
exclusivisme	0.45
exclusivismes	0.03
exclusiviste	0.03
exclusivité	2.23
exclusivités	0.06
exclut	7.45
exclût	0.06
excommuniaient	0.03
excommuniait	0.03
excommuniant	0.03
excommunication	0.77
excommunications	0.13
excommunie	0.13
excommunient	0.03
excommunier	0.23
excommuniez	0.03
excommunié	0.65
excommuniée	0.06
excommuniées	0.06
excommuniés	0.61
excoriation	0.19
excoriose	0.19
excoriée	0.03
excoriées	0.06
excroissance	0.55
excroissances	0.58
excrète	0.03
excrément	0.32
excrémentiel	0.03
excrémentielle	0.03
excrémentiels	0.03
excréments	2.26
excréter	0.03
excréteur	0.35
excréteurs	0.29
excrétion	0.29
excrétions	0.29
excrétoires	0.13
excrétrice	0.03
excrétrices	0.06
excrété	0.10
excrétée	0.03
excursion	2.06
excursionnaient	0.03
excursionnait	0.03
excursionnant	0.03
excursionner	0.06
excursionniste	0.10
excursionnistes	0.19
excursions	1.61
excursus	0.03
excusa	1.90
excusable	0.94
excusables	0.10
excusai	0.16
excusaient	0.23
excusais	0.06
excusait	2.16
excusant	1.81
excuse	16.03
excusent	0.32
excuser	7.16
excusera	0.42
excuserai	0.10
excuserait	0.16
excuseras	0.55
excuserez	0.74
excuserons	0.06
excuseront	0.06
excuses	7.45
excusez	11.03
excusiez	0.03
excusions	0.03
excusons	0.16
excusâmes	0.03
excusât	0.19
excusèrent	0.10
excusé	0.97
excusée	0.26
excusées	0.03
excusés	0.16
excède	2.19
excèdent	0.87
excès	27.68
excédaient	0.39
excédais	0.03
excédait	0.35
excédant	0.90
excédante	0.03
excédent	4.29
excédentaire	1.52
excédentaires	0.58
excédents	2.23
excéder	2.77
excédera	0.06
excéderait	0.06
excédât	0.03
excédé	2.87
excédée	0.97
excédées	0.03
excédés	0.19
exeat	0.19
exemplaire	13.03
exemplairement	0.55
exemplaires	13.19
exemplarité	0.03
exemple	278.77
exemples	35.29
exemplifier	0.03
exempt	1.81
exempta	0.06
exemptait	0.03
exemptant	0.03
exempte	1.23
exempter	0.10
exemptes	0.48
exemption	0.55
exemptions	0.61
exempts	1.23
exempté	0.26
exemptée	0.13
exemptées	0.06
exemptés	0.32
exequatur	0.13
exerce	24.84
exercent	10.32
exercer	25.48
exercera	0.94
exercerai	0.06
exerceraient	0.26
exercerais	0.03
exercerait	0.65
exercerez	0.06
exercerons	0.03
exerceront	0.32
exerces	0.06
exercez	0.13
exercice	37.39
exercices	16.97
exerciez	0.03
exercèrent	0.42
exercé	8.52
exercée	6.39
exercées	2.48
exercés	1.58
exergue	0.65
exerça	1.77
exerçai	0.16
exerçaient	2.23
exerçais	0.39
exerçait	4.77
exerçant	5.61
exerçassent	0.03
exerçons	0.19
exerçât	0.35
exfoliations	0.03
exfolie	0.03
exfolient	0.03
exfolions	0.03
exfolié	0.03
exfoliée	0.06
exhala	0.39
exhalaient	0.23
exhalaison	0.55
exhalaisons	0.52
exhalait	1.29
exhalant	1.58
exhale	1.35
exhalent	0.48
exhaler	0.74
exhalera	0.03
exhaleraient	0.03
exhalerait	0.03
exhalâmes	0.03
exhalât	0.06
exhalé	0.32
exhalée	0.19
exhaure	0.03
